color_id,canonical,surface,normalized,source,catalog_count,mapping_reason,active,version
multicolor,разноцветный,белый/ зеленый,белый зеленый,catalog_color_attributes,181,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ золотистый,белый золотистый,catalog_color_attributes,180,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ стальной,черный стальной,catalog_color_attributes,176,multiple_color_anchors,true,catalog_palette_30_v1
black,черный,черный космос,черный космос,manual_palette,175,manual_alias,true,catalog_palette_30_v1
white,белый,искрящийся белый,искрящийся белый,catalog_color_attributes,173,color_anchor,true,catalog_palette_30_v1
black,черный,матовый черный,матовый черный,catalog_color_attributes,169,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ розовый,белый розовый,catalog_color_attributes,160,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,нержавеющая сталь/ серебристый,нержавеющая сталь серебристый,catalog_color_attributes,160,multiple_color_anchors,true,catalog_palette_30_v1
black,черный,глубокий черный,глубокий черный,catalog_color_attributes,155,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,зеленый/ розовый/ голубой,зеленый розовый голубой,catalog_color_attributes,152,multiple_color_anchors,true,catalog_palette_30_v1
blue,синий,deep blue,deep blue,catalog_color_attributes,150,color_anchor,true,catalog_palette_30_v1
silver,серебристый,серебристый металлик,серебристый металлик,catalog_color_attributes,149,color_anchor,true,catalog_palette_30_v1
orange,оранжевый,терракотовый,терракотовый,manual_palette,148,manual_alias,true,catalog_palette_30_v1
beige,бежевый,капучино,капучино,manual_palette,145,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,синий/ белый,синий белый,catalog_color_attributes,145,multiple_color_anchors,true,catalog_palette_30_v1
gold,золотистый,золотой сатин,золотой сатин,catalog_color_attributes,141,color_anchor,true,catalog_palette_30_v1
beige,бежевый,латте,латте,manual_palette,138,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,прозрачный/ черный,прозрачный черный,catalog_color_attributes,135,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,салатовый,салатовый,manual_palette,133,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,серебристо серый,серебристо серый,catalog_color_attributes,133,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ белый,серый белый,catalog_color_attributes,130,multiple_color_anchors,true,catalog_palette_30_v1
orange,оранжевый,orange,orange,manual_palette,129,manual_alias,true,catalog_palette_30_v1
gold,золотистый,шампань,шампань,manual_palette,128,manual_alias,true,catalog_palette_30_v1
green,зеленый,green,green,manual_palette,127,manual_alias,true,catalog_palette_30_v1
pink,розовый,pink,pink,manual_palette,125,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ красный,белый красный,catalog_color_attributes,123,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/ желтый,бежевый желтый,catalog_color_attributes,121,multiple_color_anchors,true,catalog_palette_30_v1
white,белый,матовый белый,матовый белый,catalog_color_attributes,119,color_anchor,true,catalog_palette_30_v1
white,белый,дуб сонома/ белый,дуб сонома белый,catalog_color_attributes,117,color_anchor,true,catalog_palette_30_v1
green,зеленый,хаки,хаки,manual_palette,115,manual_alias,true,catalog_palette_30_v1
orange,оранжевый,коралловый,коралловый,manual_palette,115,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,красный/ белый,красный белый,catalog_color_attributes,114,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,серебристый/ серый,серебристый серый,catalog_color_attributes,114,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,изумрудный,изумрудный,manual_palette,112,manual_alias,true,catalog_palette_30_v1
light_blue,голубой,небесно голубой,небесно голубой,catalog_color_attributes,112,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,титановый/ черный,титановый черный,catalog_color_attributes,112,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,серебристый/ белый,серебристый белый,catalog_color_attributes,110,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/коричневый,бежевый коричневый,catalog_color_attributes,107,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ разноцветный,белый разноцветный,catalog_color_attributes,107,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,титановый/ белый,титановый белый,catalog_color_attributes,107,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,стальной/ черный,стальной черный,catalog_color_attributes,106,multiple_color_anchors,true,catalog_palette_30_v1
pink,розовый,светло розовый,светло розовый,catalog_color_attributes,106,color_anchor,true,catalog_palette_30_v1
blue,синий,sky blue,sky blue,catalog_color_attributes,105,color_anchor,true,catalog_palette_30_v1
chrome,хром,глянцевый хром,глянцевый хром,catalog_color_attributes,104,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ фиолетовый,белый фиолетовый,catalog_color_attributes,104,multiple_color_anchors,true,catalog_palette_30_v1
yellow,желтый,горчичный,горчичный,manual_palette,104,manual_alias,true,catalog_palette_30_v1
brown,коричневый,кофейный,кофейный,manual_palette,103,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/бежевый,белый бежевый,catalog_color_attributes,101,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,золотой титан,золотой титан,catalog_color_attributes,98,multiple_color_anchors,true,catalog_palette_30_v1
silver,серебристый,сланцевый титан,сланцевый титан,catalog_color_attributes,97,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,бирюзовый/ черный,бирюзовый черный,catalog_color_attributes,96,multiple_color_anchors,true,catalog_palette_30_v1
gold,золотистый,золото,золото,manual_palette,95,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/ серый,бежевый серый,catalog_color_attributes,95,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ коричневый,черный коричневый,catalog_color_attributes,95,multiple_color_anchors,true,catalog_palette_30_v1
black,черный,черный/ металлик,черный металлик,catalog_color_attributes,94,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,голубой/ черный,голубой черный,catalog_color_attributes,94,multiple_color_anchors,true,catalog_palette_30_v1
green,зеленый,лайм,лайм,manual_palette,92,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,хром белый,хром белый,catalog_color_attributes,92,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ розовый,черный розовый,catalog_color_attributes,92,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ хром,черный хром,catalog_color_attributes,92,multiple_color_anchors,true,catalog_palette_30_v1
blue,синий,glacier blue,glacier blue,catalog_color_attributes,91,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ золотой,черный золотой,catalog_color_attributes,91,multiple_color_anchors,true,catalog_palette_30_v1
gray,серый,технологичный серый,технологичный серый,catalog_color_attributes,90,color_anchor,true,catalog_palette_30_v1
purple,фиолетовый,violet,violet,manual_palette,89,manual_alias,true,catalog_palette_30_v1
gray,серый,туманный/ серый,туманный серый,catalog_color_attributes,88,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,титановый/ золотистый,титановый золотистый,catalog_color_attributes,87,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ прозрачный,черный прозрачный,catalog_color_attributes,87,multiple_color_anchors,true,catalog_palette_30_v1
white,белый,white titanium,white titanium,catalog_color_attributes,87,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный титан,черный титан,catalog_color_attributes,86,multiple_color_anchors,true,catalog_palette_30_v1
black,черный,черный муар,черный муар,catalog_color_attributes,85,color_anchor,true,catalog_palette_30_v1
black,черный,черный/ черный матовый,черный черный матовый,catalog_color_attributes,85,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ прозрачный,белый прозрачный,catalog_color_attributes,84,multiple_color_anchors,true,catalog_palette_30_v1
gray,серый,алюминий/ серый,алюминий серый,catalog_color_attributes,83,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ фиолетовый,черный фиолетовый,catalog_color_attributes,83,multiple_color_anchors,true,catalog_palette_30_v1
black,черный,black titanium,black titanium,catalog_color_attributes,82,color_anchor,true,catalog_palette_30_v1
black,черный,черный мрамор,черный мрамор,catalog_color_attributes,81,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ желтый,белый желтый,catalog_color_attributes,78,multiple_color_anchors,true,catalog_palette_30_v1
orange,оранжевый,персиковый,персиковый,manual_palette,78,manual_alias,true,catalog_palette_30_v1
blue,синий,ультрамарин,ультрамарин,manual_palette,77,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,коричневый/ черный,коричневый черный,catalog_color_attributes,77,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,зеленый/ белый,зеленый белый,catalog_color_attributes,76,multiple_color_anchors,true,catalog_palette_30_v1
white,белый,белое стекло,белое стекло,catalog_color_attributes,75,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ графитовый,черный графитовый,catalog_color_attributes,74,multiple_color_anchors,true,catalog_palette_30_v1
pink,розовый,пыльно розовый,пыльно розовый,catalog_color_attributes,74,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ бежевый,серый бежевый,catalog_color_attributes,73,multiple_color_anchors,true,catalog_palette_30_v1
purple,фиолетовый,lavender,lavender,manual_palette,73,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ хром,белый хром,catalog_color_attributes,71,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,желтый/ золотой,желтый золотой,catalog_color_attributes,71,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ бронзовый,черный бронзовый,catalog_color_attributes,71,multiple_color_anchors,true,catalog_palette_30_v1
beige,бежевый,темно бежевый,темно бежевый,catalog_color_attributes,70,color_anchor,true,catalog_palette_30_v1
gold,золотистый,золотой матовый,золотой матовый,catalog_color_attributes,70,color_anchor,true,catalog_palette_30_v1
white,белый,белый металлик,белый металлик,catalog_color_attributes,70,color_anchor,true,catalog_palette_30_v1
white,белый,белый мрамор,белый мрамор,catalog_color_attributes,70,color_anchor,true,catalog_palette_30_v1
black,черный,оникс,оникс,manual_palette,69,manual_alias,true,catalog_palette_30_v1
white,белый,алюминий/ белый,алюминий белый,catalog_color_attributes,68,color_anchor,true,catalog_palette_30_v1
gray,серый,серый ral 7038,серый ral 7038,catalog_color_attributes,66,color_anchor,true,catalog_palette_30_v1
light_blue,голубой,skyblue,skyblue,manual_palette,66,manual_alias,true,catalog_palette_30_v1
graphite,графитовый,графит матовый,графит матовый,catalog_color_attributes,65,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ красный,серый красный,catalog_color_attributes,64,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ бежевый,черный бежевый,catalog_color_attributes,64,multiple_color_anchors,true,catalog_palette_30_v1
